#RoadsPlacement
1 (1.6,3.2,1.6,92.8) 
2 (3.2,1.6,92.8,1.6) 
3 (1.6,92.8,1.6,3.2) 
4 (1.6,107.2,1.6,192.8) 
5 (7.2,98.4,92.8,98.4) 
6 (1.6,192.8,1.6,107.2) 
7 (1.6,207.2,1.6,292.8) 
8 (7.2,198.4,92.8,198.4) 
9 (1.6,292.8,1.6,207.2) 
10 (1.6,307.2,1.6,392.8) 
11 (7.2,298.4,92.8,298.4) 
12 (1.6,392.8,1.6,307.2) 
13 (1.6,407.2,1.6,492.8) 
14 (7.2,398.4,92.8,398.4) 
15 (1.6,492.8,1.6,407.2) 
16 (1.6,507.2,1.6,592.8) 
17 (7.2,498.4,92.8,498.4) 
18 (1.6,592.8,1.6,507.2) 
19 (1.6,607.2,1.6,692.8) 
20 (7.2,598.4,92.8,598.4) 
21 (1.6,692.8,1.6,607.2) 
22 (1.6,707.2,1.6,792.8) 
23 (7.2,698.4,92.8,698.4) 
24 (1.6,792.8,1.6,707.2) 
25 (1.6,807.2,1.6,896.8) 
26 (7.2,798.4,92.8,798.4) 
27 (1.6,896.8,1.6,807.2) 
28 (3.2,898.4,92.8,898.4) 
29 (92.8,1.6,3.2,1.6) 
30 (101.6,7.2,101.6,92.8) 
31 (107.2,1.6,192.8,1.6) 
32 (92.8,101.6,7.2,101.6) 
33 (98.4,92.8,98.4,7.2) 
34 (101.6,107.2,101.6,192.8) 
35 (107.2,98.4,192.8,98.4) 
36 (92.8,201.6,7.2,201.6) 
37 (98.4,192.8,98.4,107.2) 
38 (101.6,207.2,101.6,292.8) 
39 (107.2,198.4,192.8,198.4) 
40 (92.8,301.6,7.2,301.6) 
41 (98.4,292.8,98.4,207.2) 
42 (101.6,307.2,101.6,392.8) 
43 (107.2,298.4,192.8,298.4) 
44 (92.8,401.6,7.2,401.6) 
45 (98.4,392.8,98.4,307.2) 
46 (101.6,407.2,101.6,492.8) 
47 (107.2,398.4,192.8,398.4) 
48 (92.8,501.6,7.2,501.6) 
49 (98.4,492.8,98.4,407.2) 
50 (101.6,507.2,101.6,592.8) 
51 (107.2,498.4,192.8,498.4) 
52 (92.8,601.6,7.2,601.6) 
53 (98.4,592.8,98.4,507.2) 
54 (101.6,607.2,101.6,692.8) 
55 (107.2,598.4,192.8,598.4) 
56 (92.8,701.6,7.2,701.6) 
57 (98.4,692.8,98.4,607.2) 
58 (101.6,707.2,101.6,792.8) 
59 (107.2,698.4,192.8,698.4) 
60 (92.8,801.6,7.2,801.6) 
61 (98.4,792.8,98.4,707.2) 
62 (101.6,807.2,101.6,892.8) 
63 (107.2,798.4,192.8,798.4) 
64 (92.8,901.6,3.2,901.6) 
