#Device Placement File
Env length = 900.0
Step = 0.4
Simulation time = 100
Number of device placed = 70
#Device_Number (X-Pos, Y-Pos)
1 0.0 (498.4, 216.52965394370258)
2 1.0 (568.1894319584593, 1.6)
3 10.0 (501.6, 811.0930384607987)
4 11.0 (350.7322907758877, 701.6)
5 12.0 (457.70013053882866, 298.4)
6 13.0 (210.93317301534114, 298.4)
7 14.0 (98.4, 129.17716826424004)
8 15.0 (428.3860440108925, 298.4)
9 16.0 (546.1244403751567, 801.6)
10 17.0 (698.4, 329.01777464877813)
11 18.0 (207.71660364065318, 898.4)
12 19.0 (98.4, 735.1908659921959)
13 2.0 (301.6, 147.10371458213777)
14 20.0 (454.09924574736505, 601.6)
15 21.0 (501.6, 455.67319368142637)
16 22.0 (298.4, 670.1574729366228)
17 23.0 (12.358016352914273, 498.4)
18 24.0 (798.4, 317.85002271216365)
19 25.0 (334.7601212602109, 98.4)
20 26.0 (465.7167341612279, 798.4)
21 27.0 (388.84550684820863, 301.6)
22 28.0 (701.6, 851.1099207319319)
23 29.0 (533.4846574775875, 398.4)
24 3.0 (838.5743981327862, 201.6)
25 30.0 (401.6, 887.5817482322454)
26 31.0 (398.4, 22.23926323857158)
27 32.0 (816.8192877450958, 401.6)
28 33.0 (501.6, 441.14706431739035)
29 34.0 (46.20677598491311, 801.6)
30 35.0 (172.53697900827976, 301.6)
31 36.0 (401.6, 709.9749341471121)
32 37.0 (666.9691648313775, 301.6)
33 38.0 (828.3006117403507, 901.6)
34 39.0 (498.4, 279.1804792568088)
35 4.0 (298.4, 810.9158699048684)
36 40.0 (798.4, 690.2471607400104)
37 41.0 (234.15794074460865, 901.6)
38 42.0 (235.5599309403449, 198.4)
39 43.0 (98.4, 381.72544710338116)
40 44.0 (601.6, 17.93271250333637)
41 45.0 (701.6, 642.4111455651)
42 46.0 (89.76486147586256, 698.4)
43 47.0 (801.6, 129.80460788793863)
44 48.0 (626.3000320808962, 898.4)
45 49.0 (881.7515083998442, 1.6)
46 50.0 (401.6, 427.86288850232955)
47 51.0 (801.6, 276.6815415015444)
48 53.0 (535.6084335651249, 1.6)
49 54.0 (101.6, 68.4519083302468)
50 55.0 (258.23699733857063, 1.6)
51 56.0 (133.59829358849674, 201.6)
52 57.0 (512.7594738831743, 301.6)
53 58.0 (589.3709056917578, 698.4)
54 59.0 (66.4535202967003, 101.6)
55 6.0 (750.6358505504206, 301.6)
56 60.0 (901.6, 456.85384538490325)
57 61.0 (601.6, 221.61496580652891)
58 62.0 (1.6, 411.0601252393797)
59 63.0 (101.6, 422.8953971175477)
60 64.0 (637.8756571721286, 201.6)
61 65.0 (1.6, 16.804168239235878)
62 66.0 (90.41706657391042, 401.6)
63 67.0 (468.93114647921175, 201.6)
64 68.0 (245.99656436163934, 101.6)
65 69.0 (1.6, 613.3540444709361)
66 7.0 (87.06706838402897, 701.6)
67 70.0 (722.5205105079339, 698.4)
68 71.0 (92.13827186431736, 98.4)
69 5.0 (301.6, 134.0665070511401)
70 52.0 (236.21956320535392, 298.4)
