#Device Placement File
Env length = 900.0
Step = 0.4
Simulation time = 100
Number of device placed = 20
#Device_Number (X-Pos, Y-Pos)
1 0.0 (583.4703460562973, 798.4)
2 1.0 (701.6, 68.18943195845931)
3 10.0 (811.0930384607987, 798.4)
4 11.0 (1.6, 449.2677092241123)
5 12.0 (98.4, 642.2998694611713)
6 13.0 (810.9331730153413, 498.4)
7 14.0 (1.6, 529.17716826424)
8 15.0 (98.4, 571.6139559891075)
9 16.0 (146.12444037515672, 201.6)
10 17.0 (370.98222535122187, 298.4)
11 18.0 (698.4, 192.28339635934682)
12 19.0 (735.1908659921959, 1.6)
13 2.0 (447.10371458213774, 98.4)
14 3.0 (501.6, 845.9007542526349)
15 4.0 (401.6, 855.6731936814264)
16 5.0 (29.8425270633772, 298.4)
17 6.0 (787.6419836470857, 601.6)
18 7.0 (217.85002271216365, 601.6)
19 8.0 (134.7601212602109, 98.4)
20 9.0 (598.4, 734.2832658387721)
